event_index,event_type,start_time,end_time,duration,observer_index,target_index,task_index,level,param,class
1,env_target_under_window_period,2024-04-25 04:00:00,2024-04-25 04:07:45.275000,465,1,0,1,0,,env,
2,report_satellite_discovery,2024-04-25 04:02:10.200000,None,None,1,0,1,0,,report,
3,rule_assign_satellite_validation,2024-04-25 04:02:30.200000,None,None,-1,0,1,0,[61; 61],rule,
4,satellite_single_validation,2024-04-25 04:02:40.200000,2024-04-25 04:07:09.066000,6,61,0,1,0,,action,
5,satellite_single_validation,2024-04-25 04:02:40.200000,2024-04-25 04:03:55.271000,6,61,0,1,0,,action,
6,report_satellite_validation,2024-04-25 05:27:40.200000,None,None,61,0,1,0,,report,
7,rule_assign_aircraft_reconnoitre,2024-04-25 05:29:20.200000,None,None,-1,0,1,0,[0; 1],rule,
8,aircraft_arrival,2024-04-25 05:32:02.001000,2024-04-25 05:29:20.200000,0,1,0,1,0,,action,
9,reconnoitre_failure_reassign,2024-04-25 05:29:20.200000,None,None,1,0,1,0,{'reconnoitre_count': 1},action,
10,aircraft_reconnoitre_complete,2024-04-25 05:30:11.200000,None,None,1,0,1,0,,action,
11,report_mission_over,2024-04-25 05:30:21.200000,None,None,1,0,1,0,information,report,
12,aircraft_arrival,2024-04-25 05:32:06.446000,2024-04-25 05:29:20.200000,0,0,0,1,0,,action,
13,reconnoitre_failure_reassign,2024-04-25 05:29:20.200000,None,None,0,0,1,0,{'reconnoitre_count': 1},action,
14,aircraft_reconnoitre_complete,2024-04-25 05:30:22.200000,None,None,0,0,1,0,,action,
15,report_mission_over,2024-04-25 05:30:32.200000,None,None,0,0,1,0,information,report,
16,report_satellite_validation,2024-04-25 05:33:40.200000,None,None,61,0,1,0,,report,
17,rule_assign_aircraft_reconnoitre,2024-04-25 05:35:20.200000,None,None,-1,0,1,0,[0; 1],rule,
18,aircraft_arrival,2024-04-25 05:38:02.001000,2024-04-25 05:35:20.200000,0,1,0,1,0,,action,
19,reconnoitre_failure_reassign,2024-04-25 05:35:20.200000,None,None,1,0,1,0,{'reconnoitre_count': 1},action,
20,aircraft_reconnoitre_complete,2024-04-25 05:35:45.200000,None,None,1,0,1,0,,action,
21,report_mission_over,2024-04-25 05:35:55.200000,None,None,1,0,1,0,information,report,
22,aircraft_arrival,2024-04-25 05:38:06.446000,2024-04-25 05:35:20.200000,0,0,0,1,0,,action,
23,reconnoitre_failure_reassign,2024-04-25 05:35:20.200000,None,None,0,0,1,0,{'reconnoitre_count': 1},action,
24,aircraft_reconnoitre_complete,2024-04-25 05:35:28.200000,None,None,0,0,1,0,,action,
25,report_mission_over,2024-04-25 05:35:38.200000,None,None,0,0,1,0,information,report,
