event_index,event_type,start_time,end_time,duration,observer_index,target_index,task_index,level,param,class
1,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,376,35,0,1,0,,env
2,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,372,35,1,2,0,,env
3,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:02,123,41,2,3,0,,env
4,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:06,388,35,2,4,0,,env
5,env_target_under_window_period,2024/4/25 4:00,2024/4/25 4:02,140,41,3,5,0,,env
6,report_satellite_discovery,2024/4/25 4:01,None,None,41,3,5,0,,report
7,report_satellite_discovery,2024/4/25 4:01,None,None,35,0,1,0,,report
8,rule_assign_satellite_validation,2024/4/25 4:02,None,None,-1,3,5,0,[40; 40],rule
9,report_satellite_discovery_miss,2024/4/25 4:02,None,None,41,2,3,0,,report
10,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,191,40,3,5,0,,action
11,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,181,40,3,5,0,,action
12,rule_assign_satellite_validation,2024/4/25 4:02,None,None,-1,0,1,0,[40; 40],rule
13,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,181,40,0,1,0,,action
14,satellite_single_validation,2024/4/25 4:02,2024/4/25 4:14,191,40,0,1,0,,action
15,report_satellite_discovery,2024/4/25 4:03,None,None,35,1,2,0,,report
16,rule_assign_satellite_validation,2024/4/25 4:03,None,None,-1,1,2,0,[40; 40],rule
17,satellite_single_validation,2024/4/25 4:03,2024/4/25 4:14,181,40,1,2,0,,action
18,satellite_single_validation,2024/4/25 4:03,2024/4/25 4:14,191,40,1,2,0,,action
19,env_target_under_window_period,2024/4/25 4:04,2024/4/25 4:17,792,0,2,6,0,,env
20,report_satellite_discovery_miss,2024/4/25 4:06,None,None,35,2,4,0,,report
21,report_satellite_discovery,2024/4/25 4:07,None,None,0,2,6,0,,report
22,rule_assign_satellite_validation,2024/4/25 4:07,None,None,-1,2,6,0,[40; 40],rule
23,satellite_single_validation,2024/4/25 4:07,2024/4/25 4:14,191,40,2,6,0,,action
24,satellite_single_validation,2024/4/25 4:07,2024/4/25 4:14,181,40,2,6,0,,action
25,report_satellite_validation,2024/4/25 4:09,None,None,40,0,1,0,,report
26,rule_assign_aircraft_reconnoitre,2024/4/25 4:11,None,None,-1,0,1,0,[0; 1],rule
27,aircraft_arrival,2024/4/25 4:13,2024/4/25 4:11,0,0,0,1,0,,action
28,report_satellite_validation,2024/4/25 4:13,None,None,40,1,2,0,,report
29,report_satellite_validation_miss,2024/4/25 4:14,None,None,40,3,5,0,,report
30,aircraft_arrival,2024/4/25 4:15,2024/4/25 4:11,0,1,0,1,0,,action
31,rule_assign_aircraft_reconnoitre,2024/4/25 4:15,None,None,-1,1,2,0,[2; 3],rule
